prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
1.6.136.0,18,4.333333333333333,5,3,1,False
1.6.138.0,25,4.32,5,3,1,False
1.6.144.0,18,4.333333333333333,5,3,1,False
1.6.148.0,21,4.285714285714286,5,3,1,False
1.6.152.0,18,4.333333333333333,5,3,1,False
1.6.157.0,24,4.375,6,3,1,False
1.6.16.0,25,4.32,5,3,1,False
1.6.160.0,18,4.333333333333333,5,3,1,False
1.6.164.0,19,4.368421052631579,5,3,1,False
1.6.167.0,25,4.32,5,3,1,False
1.6.168.0,18,4.388888888888889,5,3,1,False
1.6.172.0,18,4.333333333333333,5,3,1,False
1.6.176.0,14,4.428571428571429,5,3,1,False
1.6.188.0,14,4.428571428571429,5,3,1,False
1.6.192.0,24,4.375,6,3,1,False
1.6.195.0,21,4.333333333333333,5,3,1,False
1.6.20.0,24,4.375,6,3,1,False
1.6.205.0,24,4.375,6,3,1,False
1.6.211.0,24,4.375,6,3,1,False
1.6.212.0,18,4.333333333333333,5,3,1,False
1.6.216.0,26,4.346153846153846,5,3,1,False
1.6.220.0,25,4.32,5,3,1,False
1.6.224.0,25,4.32,5,3,1,False
1.6.228.0,25,4.32,5,3,1,False
1.6.232.0,24,4.375,6,3,1,False
1.6.24.0,24,4.375,6,3,1,False
1.6.244.0,18,4.444444444444445,5,3,1,False
1.6.248.0,27,4.296296296296297,5,3,1,False
1.6.252.0,25,4.32,6,3,1,False
1.6.28.0,22,4.363636363636363,6,3,1,False
1.6.31.0,24,4.375,6,3,1,False
1.6.32.0,24,4.375,6,3,1,False
1.6.36.0,22,4.2727272727272725,5,3,1,False
1.6.40.0,25,4.32,5,3,1,False
1.6.44.0,25,4.32,5,3,1,False
1.6.52.0,25,4.32,5,3,1,False
1.6.54.0,25,4.4,6,3,1,False
1.6.56.0,26,4.269230769230769,5,3,1,False
1.6.60.0,24,4.375,6,3,1,False
1.6.64.0,23,4.391304347826087,6,3,1,False
1.6.66.0,41,4.365853658536586,6,3,1,False
1.6.72.0,25,4.32,5,3,1,False
1.6.74.0,25,4.32,5,3,1,False
1.6.76.0,22,4.363636363636363,6,3,1,False
1.6.8.0,24,4.375,6,3,1,False
1.6.80.0,21,4.333333333333333,5,3,1,False
1.6.82.0,24,4.375,6,3,1,False
1.6.84.0,26,4.346153846153846,5,3,1,False
1.6.88.0,25,4.32,5,3,1,False
1.6.89.0,25,4.32,5,3,1,False
1.6.92.0,46,4.782608695652174,6,3,1,False
1.6.96.0,23,4.304347826086956,5,3,1,False
1.66.104.0,1,4.0,4,4,1,False
1.66.96.0,1,4.0,4,4,1,False
1.7.128.0,19,4.368421052631579,5,3,1,False
1.7.132.0,19,4.368421052631579,5,3,1,False
1.7.136.0,26,4.269230769230769,5,3,1,False
1.7.140.0,33,4.393939393939394,5,3,1,False
1.7.148.0,18,4.333333333333333,5,3,1,False
1.7.152.0,44,4.340909090909091,5,3,1,False
1.7.156.0,20,4.3,5,3,1,False
1.7.16.0,18,4.333333333333333,5,3,1,False
1.7.160.0,37,4.486486486486487,5,3,1,False
1.7.164.0,22,4.454545454545454,6,3,1,False
1.7.167.0,18,4.333333333333333,5,3,1,False
1.7.170.0,19,4.368421052631579,5,3,1,False
1.7.176.0,19,4.473684210526316,5,3,1,False
1.7.180.0,19,4.368421052631579,5,3,1,False
1.7.184.0,19,4.368421052631579,5,3,1,False
1.7.188.0,19,4.368421052631579,5,3,1,False
1.7.192.0,18,4.333333333333333,5,3,1,False
1.7.193.0,18,4.333333333333333,5,3,1,False
1.7.194.0,19,4.368421052631579,5,3,1,False
1.7.196.0,21,4.333333333333333,5,3,1,False
1.7.204.0,18,4.333333333333333,5,3,1,False
1.7.208.0,24,4.291666666666667,5,3,1,False
1.7.210.0,25,4.32,5,3,1,False
1.7.212.0,18,4.333333333333333,5,3,1,False
1.7.216.0,37,4.351351351351352,5,3,1,False
1.7.218.0,18,4.333333333333333,5,3,1,False
